,,,,,,,,,,,
,,,Technique,Soil gas analysis,,,,,,,
,,,Instrument,GA5000,,,,,,,
,,,comment,,,,,,,,
,,,Calibration notes / Sample preparation,Air calibration,,,,,,,
IDENTIFICATION,,,Date,,,,,,,,
Locality,Latitude,Longitude,aaaa/mm/gg,CH4,CO2,O2,H2,CO,H2S,Balance,Soil type
,,,,,,,,,,,
must match sample tab,,,,vol%,vol%,vol%,ppmv,ppmv,ppmv,vol%,
Saint Magne,44.5426478,-0.6555458,2017-11-13,0,0.3,20.3,284,3,0,79.2,Sandy
Saint Magne,44.5427883,-0.6554638,2017-11-13,0,0.6,19.5,1000,49,2,79.7,Sandy
Montaut ,43.1376944,-0.1645,2018-02-15,0,0.2,20.3,8,1,0,79.3,Forest
Montaut ,43.1376944,-0.1647222,2018-02-16,0,0.6,19.5,16,6,0,79.7,Forest
Montaut ,43.1376944,-0.1647222,2018-02-17,0,0.6,19.5,20,2,0,79.7,Forest
Montaut ,43.1376944,-0.1647778,2018-02-18,0,1,19.5,9,1,0,79.3,Forest
Montaut ,43.1376944,-0.1647778,2018-02-19,0,1.8,19.1,7,1,0,78.9,Forest
Montaut ,43.1377222,-0.1648611,2018-02-20,0,1.2,19.3,13,0,0,79.3,Forest
Montaut ,43.1379444,-0.165,2018-02-21,0.5,0.3,20.1,17,2,4,78.9,Forest
Montaut ,43.1380278,-0.1651111,2018-02-22,0.8,1.1,18.8,28,15,4,79.1,Forest
Montaut ,43.1380278,-0.1651111,2018-02-23,1,0.6,19.8,36,5,8,78.4,Forest
Montaut ,43.1380833,-0.1654722,2018-02-24,0,0.7,20,28,1,3,79.1,Forest
Montaut ,43.1382222,-0.1656389,2018-02-25,0,0.8,19.9,25,0,2,79.1,Forest
Montaut ,43.1381944,-0.16575,2018-02-26,0,0.2,20.4,88,6,1,79.2,Forest
Montaut ,43.1383056,-0.1658333,2018-02-27,0,0.1,20.6,28,2,0,79.1,Forest
Montaut ,43.1383889,-0.1658611,2018-02-28,0,0.3,20.3,56,7,1,79.2,Forest
Montaut ,43.1383889,-0.1658611,2018-03-01,0,1,20,47,16,1,78.8,Forest
Montaut ,43.1384167,-0.1658889,2018-03-02,0,0.2,20.5,39,2,0,79.1,Forest
Montaut ,43.1385278,-0.1659444,2018-03-03,0.2,0.6,19.6,87,33,1,79.4,Forest
Montaut ,43.1385278,-0.1659444,2018-03-04,0.2,0.3,20.4,94,12,1,78.9,Forest
Montaut ,43.1386944,-0.1658889,2018-03-05,0,0.4,20.3,43,7,1,79.1,Forest
Montaut ,43.1386111,-0.1662778,2018-03-06,0,0.1,20.8,40,1,0,78.9,Forest
Montaut ,43.1391111,-0.1662222,2018-03-07,0,0.5,20.4,25,7,0,78.9,Forest
Lasseube,43.225542,-0.475571,2018-03-08,0,0.4,19.8,19,1,0,79,Forest
Lasseube,43.2234727,-0.4745933,2018-03-09,0,1.2,19.6,11,3,0,78.7,Forest
Lasseube,43.2234382,-0.4745232,2018-03-10,0,0.8,19.4,20,3,0,79,Forest
Lasseube,43.2235308,-0.4743337,2018-03-11,0,0.4,20.1,14,1,0,78.9,Forest
Lasseube,43.2235812,-0.4748103,2018-03-12,0,0.2,20.3,49,0,0,78.9,Forest
Lasseube,43.223558,-0.474962,2018-03-13,0,1.5,19.1,29,1,0,78.7,Forest
Lasseube,43.223641,-0.4749757,2018-03-14,0,0.4,19.8,49,2,0,78.9,Forest
Lasseube,43.2236543,-0.475238,2018-03-15,0,0.4,20.3,42,2,0,78.7,Forest
Lasseube,43.2233492,-0.4750615,2018-03-16,0,1.7,15.6,64,4,0,79.3,Forest
Rébénacq,43.1533967,-0.3957728,2018-03-17,0,0.7,19.8,37,0,0,78.9,Forest
Rébénacq,43.1531877,-0.3959203,2018-03-18,0,0.2,20.3,23,0,0,78.8,Forest
Rébénacq,43.1531203,-0.3962142,2018-03-19,0,0.2,20.7,12,0,0,78.9,Grassland
Rébénacq,43.1530043,-0.3963295,2018-03-20,0,0.2,20.6,5,0,0,78.9,Grassland
Rébénacq,43.1526615,-0.3965502,2018-03-21,0,0.2,20.6,1,0,0,78.9,Grassland
Rébénacq,43.1522712,-0.3957263,2018-03-22,0,0.1,20.7,0,0,0,78.9,Grassland
Rébénacq,43.152633,-0.3957627,2018-03-23,0,0.1,20.8,0,0,0,78.9,Grassland
Col d'urdach,43.1180562,-0.6641538,2018-03-24,0.1,0.4,18.1,1000,79,2,80.5,Meadow
Col d'urdach,43.1180788,-0.664306,2018-03-25,0,0.3,19.2,1000,61,2,80.1,Meadow
Col d'urdach,43.118094,-0.664412,2018-03-26,0,0.2,19.4,323,17,0,79.6,Meadow
Col d'urdach,43.1180537,-0.6644703,2018-03-27,0,0.2,19.9,475,3,0,79.5,Meadow
Col d'urdach,43.1181472,-0.6644968,2018-03-28,0,0.3,20.1,105,4,0,79.5,Meadow
Col d'urdach,43.1181627,-0.6646515,2018-03-29,0.1,0.3,20.4,66,4,0,79.2,Meadow
Col d'urdach,43.1177692,-0.664736,2018-03-30,0.1,0.1,19.8,413,7,0,79.2,Meadow
Montaut,43.1380202,-0.1643212,2018-03-31,0,0.1,20.4,20,0,0,79.5,Forest
Montaut,43.1379812,-0.1644252,2018-04-01,0,0.1,19.6,7,2,0,79.5,Forest
Montaut,43.1379307,-0.1640965,2018-04-02,0,0.1,19.7,4,4,0,79.6,Forest
Montaut,43.138064,-0.1643232,2018-04-03,0,0.1,19.9,6,6,0,79.5,Forest
Montaut,43.1381833,-0.1642893,2018-04-04,0,0.2,19.9,12,2,0,79.4,Forest
Montaut,43.1382297,-0.1641413,2018-04-05,0,0.4,19.6,6,2,0,79.4,Forest
Montaut,43.1382155,-0.1640383,2018-04-06,0,0.1,19.6,14,2,0,79.5,Forest
Montaut,43.1383822,-0.1637747,2018-04-07,0,1.2,19.9,1,0,0,78.8,Forest
Montaut,43.1383243,-0.1636903,2018-04-08,0,0.3,19.4,2,1,0,79.4,Forest
Montaut,43.138295,-0.1637943,2018-04-09,0,0.1,19.7,4,4,0,79.4,Forest
Montaut,43.1383545,-0.1636315,2018-04-10,0,0.1,19.6,7,2,0,79.4,Forest
Montaut,43.1381857,-0.163641,2018-04-11,0,0.1,19.7,3,0,0,79.3,Forest
La Saline,43.442167,-0.9750965,2018-04-12,0.1,0.1,20.5,1,0,0,79.1,Forest
La Saline,43.4420828,-0.975058,2018-04-13,0.1,1.6,20.2,10,1,0,78.8,Forest
La Saline,43.4419952,-0.9751335,2018-04-14,0,2.6,19.5,31,2,0,79,Forest
La Saline,43.4421347,-0.9751945,2018-04-15,0,1.7,20,50,4,0,79.2,Forest
La Saline,43.4420173,-0.9751592,2018-04-16,0,0.4,20.2,53,2,0,79.2,Forest
La Saline,43.4421095,-0.9748788,2018-04-17,0,0.5,20.1,41,4,0,79.2,Forest
La Saline,43.4422035,-0.9748665,2018-04-18,0,0.2,20.6,14,1,0,79.1,Forest
La Saline,43.4421727,-0.9747237,2018-04-19,0,0.4,20.4,9,2,0,79.2,Forest
La Saline,43.4421662,-0.9744672,2018-04-20,0,1,20.1,12,1,0,79.1,Forest
La Saline,43.4418158,-0.9740355,2018-04-21,0,3.1,17.7,9,1,0,79.5,Forest
La Saline,43.4416493,-0.9729313,2018-04-22,0,2.7,19.6,4,1,0,79.3,Forest
La Saline,43.4418903,-0.9762373,2018-04-23,0,1.4,20.6,0,0,0,79,Forest
La Saline,43.4416758,-0.9762167,2018-04-24,0,0.3,20.6,3,0,0,78.9,Forest
La Saline,43.441722,-0.9762115,2018-04-25,0,0.5,20.3,15,1,0,79,Forest
La Saline,43.4419772,-0.9760372,2018-04-26,0,0.7,19.9,3,0,0,79.1,Forest
La Saline,43.4420153,-0.9754932,2018-04-27,0,0.5,20.4,5,1,0,79.1,Forest
La Saline,43.4416655,-0.9751193,2018-04-28,0,4.1,16.6,5,1,0,79.8,Forest
La Saline,43.4416693,-0.9750193,2018-04-29,0,2.6,17.5,1,0,0,79.7,Forest
La Saline,43.4416175,-0.9752113,2018-04-30,0,2.1,18.1,8,0,0,79.3,Forest
La Saline,43.441696,-0.9751687,2018-05-01,0,0.1,20.5,12,2,0,79.2,Forest
La Saline,43.4417077,-0.9749573,2018-05-02,0,0.3,20.3,11,1,0,79.3,Forest
La Saline,43.4416613,-0.9749468,2018-05-03,0,1,20.2,12,0,0,79.1,Forest
La Saline,43.4412693,-0.974798,2018-05-04,0,1.4,17.3,12,1,0,79.7,Forest
La Saline,43.4413007,-0.9748048,2018-05-05,0,0.8,20,4,1,0,79.4,Forest
La Saline,43.4418665,-0.974995,2018-05-06,0,0.3,20.1,13,1,0,79.6,Forest
La Saline,43.4420958,-0.9751057,2018-05-07,0,0.1,20.1,9,0,0,79.6,Forest
La Saline,43.4421248,-0.9751592,2018-05-08,0,0.6,19.8,34,1,0,79.5,Forest
La Saline,43.442053,-0.9751247,2018-05-09,0,0.4,20,7,1,0,79.6,Forest
La Saline,43.4421793,-0.9750288,2018-05-10,0,0.8,19.7,16,0,0,79.6,Forest
La Saline,43.4420912,-0.9752068,2018-05-11,0,0.3,20.1,2,0,0,79.6,Forest
La Saline,43.4419373,-0.9752217,2018-05-12,0,1.1,19.2,5,1,0,79.6,Forest
La Saline,43.442334,-0.9747533,2018-05-13,0,1.1,19.1,18,2,0,79.3,Forest
